Temp,Turbidity,Dissolved_O2,pH,Ammonia
25.125,56,0,-0.57265,23.48226
25.125,56,0,0.85274,23.5814
25.125,56,1.85,0.87998,25.12487
25.125,56,5.566,-0.62713,25.12487
25.125,56,5.462,-0.42285,24.91284
25.125,56,9.387,1.17504,25.23162
25.125,56,5.422,0.25807,25.01862
25.0625,57,3.972,0.93899,23.88162
25.0625,57,6.64,1.1705,22.42105
25.0625,57,0,-0.30936,23.48226
25.0625,57,5.558,0.34432,24.08407
25.125,57,4.149,0.90267,24.91284
25.0625,59,5.406,-0.57719,21.1453
25.125,57,4.541,0.43965,23.98261
25.125,57,12.591,-0.51818,22.99327
25.125,57,0,1.0434,23.78109
25.125,57,2.058,0.95715,23.48226
25.125,57,5.318,0.31254,22.14077
25.0625,57,4.044,0.36702,23.48226
25.125,60,0,0.90267,18.82407
25.125,58,0,0.53498,23.48226
25.125,58,4.253,-0.30936,24.18602
25.125,58,10.316,1.06609,21.95605
25.125,58,27.064,1.12057,21.86433
25.125,58,0.536,-0.59535,22.04821
25.0625,58,0,-0.59989,21.6821
25.125,58,23.9,1.12965,22.61005
25.0625,58,3.908,0.85274,21.95605
25.125,58,5.158,0.32162,22.99327
25.0625,58,0,0.01294,21.86433
25.125,59,5.158,0.73471,20.11451
25.125,58,5.43,1.20682,21.95605
25.0625,59,5.158,0.998,23.88162
25.125,58,0,1.28853,27.59195
25.125,59,4.925,0.73471,28.43165
25.1875,58,4.941,1.21136,30.72237
25.1875,58,3.636,0.45781,29.93703
25.125,59,3.596,1.01162,30.72237
25.125,59,24.165,1.30215,30.45811
25.125,59,0,-0.02338,32.78656
25.125,59,3.516,1.39748,29.17371
25.125,59,3.604,0.97077,30.19634
25.1875,59,0,0.16728,30.85544
25.1875,59,3.684,1.11149,31.25849
25.1875,59,4.781,-0.04153,30.06637
25.1875,59,3.38,1.42471,28.30999
25.1875,59,2.434,-0.10055,26.55203
25.125,59,0,0.76649,26.10369
25.125,59,3.46,0.28985,25.88264
25.125,61,4.565,1.38386,21.95605
25.1875,59,3.852,0.41241,27.24046
25.1875,58,25.366,1.57905,27.59195
25.125,59,22.339,0.56221,31.25849
25.125,59,4.757,1.77425,28.55386
25.1875,59,0,0.29439,28.80005
25.1875,59,11.485,0.06741,30.98914
25.125,59,3.908,1.57451,29.04855
25.125,59,4.701,1.57451,29.17371
25.125,58,2.483,0.8482,28.55386
25.125,59,3.155,1.15234,31.25849
25.125,59,3.259,0.55767,30.45811
25.125,59,0,0.70294,29.17371
25.1875,59,3.972,0.46689,30.85544
25.1875,59,0.328,1.61083,33.80169
25.125,59,4.565,1.12965,32.36183
25.1875,60,26.6,1.66076,32.78656
25.1875,59,0,0.41695,33.07315
25.1875,59,7.048,-0.1641,35.31247
25.125,59,4.325,0.24445,34.54797
25.1875,59,0,0.52136,40.67041
25.125,59,4.437,0.63938,39.2514
25.125,59,0,1.54728,37.88696
25.125,59,9.387,2.04662,38.05461
25.125,59,5.254,-0.81324,38.05461
25.1875,59,4.869,-0.6816,38.90527
25.125,59,7.176,1.79241,38.90527
25.1875,59,3.235,1.58359,36.89798
25.1875,59,13.087,0.68024,37.55408
25.1875,59,7.665,0.1355,38.90527
25.1875,59,3.147,0.73471,43.29234
25.1875,59,4.405,1.62445,43.29234
25.1875,59,4.221,1.19774,46.31137
25.125,59,4.381,1.89228,42.14641
25.1875,59,4.693,1.82419,46.31137
25.125,60,7.545,-0.57265,44.27369
25.1875,59,3.78,-0.45009,46.10301
25.25,59,22.531,0.22175,47.36906
25.125,59,4.549,-0.24581,46.94282
25.1875,60,21.962,1.01616,50.70677
25.1875,60,22.371,1.28853,46.73124
25.125,60,35.25,0.85274,43.29234
25.125,59,5.454,1.72432,44.07547
25.1875,60,0,0.80735,41.95867
25.1875,60,0,0.65754,41.21708
25.1875,60,2.819,1.57905,43.87824
25.1875,60,2.803,1.47465,40.85173
25.1875,60,2.979,1.28853,41.95867
25.1875,61,0,1.72432,43.87824
25.1875,61,2.683,0.58945,44.07547
25.1875,61,24.878,1.90136,42.14641
25.1875,61,4.869,0.57129,41.58607
25.125,61,0,0.20814,43.87824
25.125,61,0,-0.74515,40.48995
25.125,61,1.826,-0.32752,43.68198
25.1875,61,2.939,0.26715,43.87824
25.1875,62,2.811,0.22629,37.06082
25.1875,60,0,1.61083,43.87824
25.25,60,3.524,0.09465,43.87824
25.1875,61,4.092,0.68478,42.90658
25.1875,61,4.365,1.58813,42.71509
25.1875,61,3.972,0.88452,44.67315
25.1875,61,4.533,0.45781,43.87824
25.1875,61,5.718,-0.36838,41.58607
25.1875,61,3.548,0.41695,43.87824
25.1875,61,12.046,0.66662,43.87824
25.1875,61,3.812,0.42603,49.11769
25.1875,61,3.732,0.12189,45.27983
25.25,61,3.035,-0.07785,44.07547
25.1875,61,7.08,0.04018,43.87824
25.1875,61,3.996,-0.17318,43.87824
25.1875,60,3.388,0.653,41.03395
25.25,60,5.855,-0.13232,41.95867
25.1875,60,2.491,0.92083,38.90527
25.1875,61,2.947,1.41109,41.21708
25.1875,60,28.194,1.36116,39.2514
25.1875,61,11.213,0.97531,38.05461
25.1875,60,2.835,0.92537,43.87824
25.1875,60,3.131,0.27169,44.07547
25.25,60,3.468,1.18866,41.03395
25.1875,59,0,0.18998,35.78006
25.1875,59,2.955,0.29893,33.07315
25.125,59,0,1.42471,33.9495
25.1875,60,4.381,1.79695,34.09807
25.1875,59,0,0.63031,36.57472
25.1875,59,4.012,2.01938,37.22446
25.1875,58,17.885,2.06478,34.54797
25.1875,60,0,0.12643,34.09807
25.1875,59,0,0.18544,37.88696
25.25,59,12.366,1.41109,37.22446
25.1875,60,0,0.12643,37.38887
25.1875,59,3.067,0.07649,37.38887
25.1875,59,0,0.68478,38.39236
25.1875,60,0,0.95261,38.56253
25.125,59,3.428,0.62123,39.2514
25.1875,59,3.94,0.47596,40.85173
25.1875,60,0,0.53044,43.68198
25.1875,59,18.702,1.70162,46.73124
25.1875,60,23.652,1.61083,43.87824
25.1875,60,0,0.37156,45.68933
25.25,60,4.221,-0.08239,44.67315
25.1875,59,1.089,1.72432,45.07656
25.1875,60,22.683,1.63353,47.5838
25.1875,84,2.394,2.16011,49.34127
25.1875,84,0,0.38971,50.24697
25.25,83,2.715,1.51096,52.11444
25.25,83,4.229,1.7107,50.47631
25.1875,82,2.955,1.72432,40.85173
25.25,82,18.174,1.26583,43.87824
25.1875,82,2.547,1.3884,47.5838
25.1875,83,0,1.12965,48.45367
25.1875,83,2.643,1.56544,53.81205
25.1875,83,3.588,1.78787,50.70677
25.1875,83,6.712,1.82872,52.11444
25.1875,83,23.124,1.41563,53.56583
25.1875,84,0,1.34754,51.17122
25.1875,84,1.658,1.79241,56.3452
25.25,84,2.539,0.3307,55.82808
25.25,81,0,1.39294,50.24697
25.1875,83,0,1.05702,62.98596
25.25,83,2.587,1.54728,66.00774
25.1875,83,2.362,1.76517,58.19747
25.1875,83,0,0.68024,58.73916
25.1875,83,20.721,1.66076,55.82808
25.25,83,3.908,0.69386,44.47295
25.1875,83,0,0.90721,42.71509
25.1875,83,4.189,1.89228,42.71509
25.1875,83,2.531,0.23083,50.93842
25.1875,83,24.173,1.27945,57.66143
25.1875,83,0,0.91175,55.57155
25.1875,84,4.637,1.22498,57.39546
25.125,83,17.773,-0.30028,54.30836
25.1875,84,0,0.73471,62.40035
25.1875,84,3.908,0.8255,61.82086
25.1875,86,19.575,0.94807,50.70677
25.1875,84,2.707,-0.56811,59.28642
25.1875,84,14.657,0.09919,65.08449
25.1875,84,4.381,0.79373,58.73916
25.1875,84,18.31,0.53952,57.13083
25.1875,84,0,-1.41245,59.83945
25.1875,83,0,-0.74515,66.00774
25.1875,84,2.539,-0.64982,71.86549
25.1875,86,1.978,-0.31844,77.56561
25.1875,84,0,0.79827,82.17494
25.125,84,19.663,0.78919,77.19477
25.1875,84,6.375,-0.42739,77.56561
25.1875,86,2.667,0.26715,55.82808
25.1875,84,0,0.92083,67.89865
25.1875,84,2.859,-0.64074,68.21968
25.1875,84,2.731,0.56221,67.26167
25.125,84,0,0.03564,70.51501
25.1875,86,4.229,-0.30936,51.87685
25.125,84,3.348,-0.1868,66.31876
25.125,84,3.916,-0.13686,64.47705
25.125,84,0,0.55314,64.47705
25.125,83,3.884,0.92991,73.94593
25.125,84,2.707,0.70748,72.89737
25.125,84,4.229,0.90267,72.55155
25.1875,84,4.229,0.63485,74.29922
25.125,84,3.972,1.22952,73.59457
25.125,83,2.987,0.27623,85.00572
25.1875,84,0,1.13419,87.09512
25.125,84,22.218,0.998,86.25246
25.1875,84,9.251,0.24899,81.38573
25.125,84,4.133,1.16596,92.80393
25.125,84,4.221,1.01616,90.55969
25.1875,84,0,0.24445,91.89874
25.125,84,2.37,-0.09147,97.00373
25.1875,84,0,0.22175,92.35011
25.125,84,18.35,0.98892,93.26026
25.125,84,0,-0.91311,107.12934
25.125,84,4.797,-0.62259,92.80393
25.125,84,3.82,1.44741,91.89874
25.125,84,2.218,1.40201,81.38573
25.125,84,2.571,0.68478,92.80393
25.125,84,3.764,-0.0143,92.80393
25.125,83,4.525,1.51096,86.25246
25.125,84,0,0.76195,86.25246
25.125,84,3.724,1.57905,87.94698
25.125,84,2.234,1.55182,82.97275
25.125,83,3.66,1.75155,86.67262
25.1875,83,2.771,0.75287,91.44991
25.125,83,3.652,1.02978,90.11816
25.125,83,3.147,1.16596,103.4551
25.1875,83,2.803,1.28853,92.80393
25.125,83,2.971,1.15234,82.17494
25.125,83,2.466,1.24767,77.93837
25.1875,83,2.859,0.8255,80.21787
25.125,82,3.34,0.14912,79.06893
25.125,83,3.772,-0.30936,73.59457
25.125,83,3.283,-0.01884,71.52512
25.125,83,2.763,1.08879,71.18662
25.125,84,2.923,0.6984,91.89874
25.125,84,3.251,-0.05061,89.67915
25.125,84,5.63,0.49412,84.59469
25.125,84,4.317,0.84366,82.97275
25.125,85,3.067,0.86636,73.59457
25.125,85,3.484,0.28077,82.57276
25.125,84,1.241,0.82096,83.77934
25.125,85,3.171,0.14458,88.37643
25.125,85,7.705,0.26715,80.99436
25.125,85,3.027,0.77557,80.21787
25.125,84,3.107,0.47596,75.37052
25.125,85,2.907,0.71202,73.94593
25.125,84,2.779,1.00708,68.21968
25.125,84,4.813,1.20682,67.57928
25.125,84,2.947,1.34754,68.21968
25.125,85,2.979,0.98438,60.67979
25.125,84,2.923,0.98892,62.98596
25.125,85,2.675,1.12057,62.10984
25.125,84,2.659,1.18412,59.0121
25.125,84,6.888,0.83458,54.80974
25.125,84,3.075,0.34432,59.83945
25.125,85,3.812,0.71202,59.56226
25.125,84,3.035,0.44419,62.10984
25.125,85,2.979,-0.15956,58.73916
25.0625,85,3.219,0.24445,53.81205
25.125,85,2.947,1.18866,49.56601
25.125,83,2.987,1.3203,43.29234
25.125,83,2.795,0.95261,60.11809
25.125,84,4.116,1.25675,71.86549
25.125,84,0,1.2159,70.18184
25.125,83,2.499,1.41109,75.73145
25.125,84,2.41,1.36116,73.59457
25.125,84,2.555,1.52912,73.24508
25.125,82,2.547,1.64261,73.94593
25.125,83,2.555,1.41563,74.29922
25.125,83,2.819,1.2159,75.37052
25.125,83,2.747,1.3203,76.09438
25.125,83,3.211,1.1705,71.52512
25.125,83,2.795,1.28853,66.31876
25.125,83,2.859,0.998,67.89865
25.125,83,2.907,0.63485,66.63145
25.125,83,4.581,0.94807,58.73916
25.0625,83,1.994,1.12965,62.69238
25.125,83,3.291,-0.18226,59.56226
25.0625,83,3.163,0.41695,65.39067
25.0625,83,3.131,0.12643,61.53332
25.125,83,2.026,0.50774,53.81205
25.125,83,3.604,1.64715,50.47631
25.125,83,2.41,0.13096,58.73916
25.1875,83,0,1.58813,62.69238
25.125,83,27.689,1.34754,57.92877
25.125,83,1.906,0.85728,58.73916
25.0625,85,0,1.1478,61.53332
25.125,84,6.519,1.05702,78.31316
25.125,84,3.908,1.22498,71.86549
25.125,83,0,0.56221,71.18662
25.125,84,1.906,1.24767,68.54236
25.125,84,0,0.80735,70.51501
25.125,84,0,0.69386,65.39067
25.125,84,16.772,2.30537,60.39819
25.125,84,0,-0.55449,66.00774
25.125,84,0,1.2159,68.21968
25.125,84,0,0.85274,67.89865
25.125,84,6.383,1.70616,57.92877
25.125,84,0,1.18412,51.87685
25.125,84,3.027,0.92083,49.34127
25.125,86,1.305,2.0784,33.21745
25.1875,84,0,1.25221,39.60093
25.125,84,21.129,1.15688,58.73916
25.125,84,20.649,1.82419,73.94593
25.125,84,0,0.87544,92.35011
25.125,84,3.588,0.64846,77.19477
25.125,84,3.732,0.51682,92.80393
25.0625,84,0.232,-0.15502,107.66618
25.125,84,6.527,1.79695,120.89769
25.125,84,0,0.28077,125.28437
25.0625,83,0,-0.10963,145.49516
25.125,84,1.738,0.38517,135.30815
25.125,84,0,1.27491,136.00821
25.125,84,6.792,0.84366,125.28437
25.125,84,24.325,2.12833,128.52859
25.125,84,3.692,0.61215,142.49799
25.125,84,4.06,0.62123,139.57097
25.125,84,6.519,1.93313,136.00821
25.125,84,3.484,0.27169,145.49516
25.0625,86,3.548,0.56221,156.56668
25.125,84,0.24,0.50774,170.4173
25.0625,84,7.889,2.2055,172.24513
25.125,84,0,1.2159,178.82222
25.1875,84,3.308,0.92537,188.72345
25.1875,84,0,0.87544,193.90924
25.1875,84,2.41,0.85728,193.90924
25.1875,84,1.874,1.78333,196.02905
25.125,84,0,1.11149,194.96585
25.125,84,0,0.59399,180.75375
25.1875,83,0,1.13873,179.78499
25.125,83,2.226,1.7334,164.19202
25.125,83,2.987,1.94221,165.06514
25.125,84,1.842,2.08293,189.74789
25.125,84,0,0.38971,200.34915
25.125,84,0,0.12643,188.72345
25.125,85,4.229,1.8832,185.68866
25.125,84,22.202,2.08293,196.02905
25.125,84,1.658,1.90136,199.25905
25.125,83,1.706,2.14649,211.63678
25.125,84,0,1.41563,210.47557
25.125,84,3.42,0.6757,208.17543
25.125,84,13.84,2.16464,213.98096
25.0625,84,2.026,1.04794,244.57689
25.125,84,3.219,2.0103,211.63678
25.0625,85,0,0.92991,212.80521
25.125,84,2.234,1.80603,212.80521
25.0625,84,3.684,1.06156,241.84306
25.125,84,0,0.85274,255.87526
25.125,84,3.42,1.91951,281.94611
25.125,84,10.813,1.8832,298.71381
25.125,84,4.437,2.06932,280.33026
25.0625,84,3.508,2.23274,247.34677
25.125,84,0,2.04662,288.51907
25.125,86,0,2.04208,177.86523
25.0625,84,13.24,1.13873,302.20401
25.0625,84,0,1.8832,295.26971
25.0625,84,4.397,1.0207,273.97232
25.0625,84,3.275,2.20096,258.79337
25.0625,85,9.211,2.30083,270.85611
25.125,85,0.52,2.2282,293.56525
25.125,85,1.73,2.02846,278.72501
25.0625,85,4.357,2.19188,288.51907
25.0625,85,0.312,2.09201,293.56525
25.125,85,7.985,2.21004,369.4296
25,84,0,0.6757,331.89484
25.0625,85,0,0.41695,328.00452
25.125,84,1.834,1.43833,324.16705
25.0625,83,1.473,1.7334,263.24252
25.0625,84,0,0.77557,314.79852
25.0625,84,17.132,1.94675,324.16705
25.0625,84,1.609,0.61215,324.16705
25.0625,84,0.905,0.57583,281.94611
25.0625,83,1.601,0.3307,283.57324
25.125,83,0.905,0.78919,305.74231
25.0625,82,2.194,2.1828,318.50763
25.0625,83,1.425,1.09787,316.64639
25.125,84,0,1.84234,326.07892
25.0625,84,3.203,2.02392,300.4534
25.0625,84,3.123,2.08747,305.74231
25.0625,83,1.625,1.11603,283.57324
25.0625,84,0,1.07971,285.21091
25.0625,84,0,1.61991,333.8605
25.0625,86,0,1.67438,254.43057
25.0625,84,1.882,0.56221,331.89484
25,85,1.826,1.65169,414.51584
25.0625,85,3.428,1.20228,369.4296
25.0625,85,1.537,2.0103,383.02072
25,85,1.802,1.86504,419.62524
25.0625,85,0,0.56221,449.07004
25.0625,86,2.058,1.35208,446.29532
25.0625,85,0,0.25807,438.09192
25,85,3.187,1.8378,446.29532
25,85,4.044,-0.64528,451.86362
25,85,5.374,1.47919,411.98932
25.0625,86,1.85,1.46557,373.89673
25,86,19.239,1.71978,424.8071
25,85,5.094,1.52004,411.98932
25.0625,85,0,0.21721,424.8071
25,85,8.634,1.64261,414.51584
25.0625,85,0,0.998,469.06256
25.0625,85,21.882,1.41109,414.51584
25,84,9.539,2.00122,200.34915
25.0625,85,19.936,1.72886,94.18064
25.0625,84,3.211,0.36702,90.55969
25.0625,84,0,-0.00976,159.06245
25.0625,84,21.962,1.77425,131.19289
25.0625,84,3.243,0.83004,177.86523
25.0625,85,7.617,2.15557,235.16071
25.0625,85,0,1.07971,288.51907
25.0625,85,4.453,0.93445,314.79852
25.0625,85,3.283,0.57583,356.39514
25.0625,86,1.561,2.16011,376.15326
25,85,20.777,2.0784,469.06256
25.0625,86,3.964,1.05702,502.6196
25,85,0,2.11925,449.07004
25.0625,85,18.302,1.87866,449.07004
25.0625,86,23.772,1.98307,535.5827
25.0625,86,21.025,1.06609,457.51306
25,86,3.332,1.43379,457.51306
25.0625,86,3.283,0.75741,549.47272
25,86,3.283,0.998,515.51147
25.0625,86,3.588,1.55636,571.10406
25,85,0,0.99346,638.03497
25,86,1.529,2.23728,589.89618
25,86,24.101,1.15688,609.41833
25.0625,85,2.026,1.43833,686.25702
25.0625,86,9.163,2.24182,601.51935
25,85,0,0.97984,672.69324
25.0625,86,4.974,0.62123,709.58368
25.0625,86,9.219,2.18734,700.14325
25.0625,86,3.171,1.11149,586.08142
25.0625,86,14.265,2.24182,724.02747
25.0625,85,0,1.43379,663.82581
25.0625,86,3.283,0.34432,549.47272
25,86,1.553,2.01484,578.53662
25.0625,86,3.468,0.73017,609.41833
25.0625,86,6.351,0.77557,567.43127
25.0625,86,17.805,1.62445,625.58142
25.0625,86,0,0.653,589.89618
25,86,0,1.43379,586.08142
25,86,3.115,1.21136,553.0097
25.0625,86,5.654,2.24182,571.10406
25,86,0,0.61215,539.0166
25.0625,86,0,1.42017,545.96075
25,86,0,1.52004,490.10165
25.0625,86,0,0.70748,480.95248
25.0625,86,5.502,2.34168,204.77904
25.0625,86,0,1.07971,174.09566
25,86,0,1.20228,175.96877
25.0625,86,21.169,2.08747,303.96719
25,86,3.235,0.33978,659.44312
25.0625,86,0,0.53498,780.03149
25.0625,86,0,0.64392,841.2066
25.0625,86,13.6,1.8605,1125.14392
25.0625,86,0,0.49412,852.92767
25.0625,86,2.05,1.74701,1054.15576
25,86,13.664,1.6653,835.41675
25.0625,86,0,0.56675,1046.599
25,86,4.445,1.86504,841.2066
25,86,0,0.41695,1077.21118
25.0625,86,19.367,2.25089,1354.1554
25,87,13.055,1.77425,677.1795
25.0625,87,3.035,0.99346,1228.80835
25,87,1.473,2.10109,1343.98938
25,87,18.302,1.37024,1085.03076
25,87,0,0.48504,1201.86743
25,87,0,-0.1641,1354.1554
25,87,1.794,1.26129,1210.76685
25,86,2.394,0.82096,1085.03076
25,86,3.572,-0.74515,1275.31836
25,86,0,-0.45917,988.4021
24.9375,87,1.639,1.35208,1069.46143
25,87,3.852,0.09465,901.78113
25,86,0.456,1.23859,960.74078
25,86,0,1.0434,1031.67908
25,86,0,0.98892,981.39917
25,87,0,1.24313,1175.62341
25,87,2.747,1.27037,1017.00726
25,86,8.354,2.11471,933.99176
25,87,3.62,0.91629,927.44135
25.0625,88,0,1.11603,1108.89221
25,87,3.54,1.45649,1092.91724
25,88,0,0.75287,947.25494
25,88,0,1.37932,988.4021
25,87,3.412,1.35662,974.45721
25.0625,88,8.394,2.46425,1017.00726
25,87,6.263,2.0784,895.49628
25,87,0,0.57583,960.74078
25,86,8.962,1.91951,864.84125
25,87,1.906,1.43379,841.2066
25.0625,86,0,0.73925,1054.15576
25,86,3.235,0.61215,1009.76642
25,86,0,0.92537,1069.46143
25,86,3.291,1.12511,1175.62341
25,86,2.907,1.43833,889.26569
25,86,1.666,1.79241,841.2066
25,87,3.259,0.78465,841.2066
25,86,21.73,2.02846,790.75342
25.0625,86,3.059,0.93899,927.44135
25,86,3.075,0.60307,823.97852
25,86,3.796,-0.72245,769.47821
25,86,0,-0.52272,753.96606
25,86,4.221,0.34886,947.25494
25,86,22.883,0.77557,764.26666
25,86,20.777,1.20682,1733.46802
25,86,2.811,1.11149,1343.98938
25,86,3.291,1.33846,1506.51636
25,86,0,0.24899,1640.67041
24.9375,87,0,0.91629,1719.83362
25,86,3.155,0.98438,1706.3324
25,87,3.027,1.43379,1706.3324
25,86,4.189,0.71656,1692.95227
25,86,3.924,0.63031,1385.20264
25,86,1.826,1.1932,1354.1554
25,86,21.265,1.37478,1374.75916
25,86,0,0.7211,1892.25464
25,86,3.259,1.53366,2209.4458
25,86,0,0.53952,2085.69165
25,86,3.283,0.75287,2035.20056
25,86,1.73,1.72432,2173.20898
24.9375,86,20.2,1.71978,1847.28821
25,86,0,0.80281,2925.95142
25,86,3.283,0.83912,2900.48145
24.9375,86,0,0.58491,4089.83008
25,86,0,0.55767,3560.8457
25,86,3.684,1.02978,3867.60083
24.9375,86,4.488,1.76517,3560.8457
25,86,0,0.85274,3139.73096
24.9375,86,3.49,1.39294,3465.15527
25,86,5.23,2.19188,2463.39478
25,86,4.221,1.94675,1364.4093
25,86,20.913,2.04208,1100.86902
25,86,2.947,1.74701,1506.51636
25,86,24.525,2.06024,2137.68701
25,86,2.971,0.85274,1602.72314
24.9375,86,1.707,1.91951,1706.3324
24.9375,86,11.554,2.26451,2035.20056
24.9375,85,4.209,0.34432,1954.25366
24.9375,86,2.535,2.16918,2925.95142
24.875,85,1.639,2.12833,2777.00977
24.9375,86,0,0.73471,2265.15112
24.9375,86,9.787,2.19188,2173.20898
24.9375,86,0,0.95261,2777.00977
25,86,3.34,0.55314,2484.33472
24.9375,85,24.993,1.98307,2729.39722
